x,y,z,T,solid
0.067731822,0.074868071,0.0,307.09676,1.0
0.067731822,0.075292178,0.0,307.09681,1.0
0.067731822,0.075716284,0.0,307.09687,1.0
0.067731822,0.076140391,0.0,307.09693,1.0
0.067731822,0.076564498,0.0,307.097,1.0
0.067731822,0.076988604,0.0,307.09706,1.0
0.067731822,0.077412711,0.0,307.09713,1.0
0.067731822,0.077836818,0.0,307.0972,1.0
0.068157416,0.072323431,0.0,307.09654,1.0
0.068157416,0.072747538,0.0,307.09657,1.0
0.068157416,0.073171645,0.0,307.0966,1.0
0.068157416,0.073595751,0.0,307.09664,1.0
0.068157416,0.074019858,0.0,307.09669,1.0
0.068157416,0.074443965,0.0,307.09673,1.0
0.068157416,0.074868071,0.0,307.09679,1.0
0.068157416,0.075292178,0.0,307.09684,1.0
0.068157416,0.075716284,0.0,307.0969,1.0
0.068157416,0.076140391,0.0,307.09696,1.0
0.068157416,0.076564498,0.0,307.09702,1.0
0.068157416,0.076988604,0.0,307.09709,1.0
0.068157416,0.077412711,0.0,307.09716,1.0
0.068157416,0.077836818,0.0,307.09722,1.0
0.068583009,0.070202898,0.0,307.09648,1.0
0.068583009,0.070627005,0.0,307.09649,1.0
0.068583009,0.071051112,0.0,307.0965,1.0
0.068583009,0.071475218,0.0,307.09652,1.0
0.068583009,0.071899325,0.0,307.09654,1.0
0.068583009,0.072323431,0.0,307.09656,1.0
0.068583009,0.072747538,0.0,307.09659,1.0
0.068583009,0.073171645,0.0,307.09663,1.0
0.068583009,0.073595751,0.0,307.09667,1.0
0.068583009,0.074019858,0.0,307.09671,1.0
0.068583009,0.074443965,0.0,307.09676,1.0
0.068583009,0.074868071,0.0,307.09681,1.0
0.068583009,0.075292178,0.0,307.09687,1.0
0.068583009,0.075716284,0.0,307.09693,1.0
0.068583009,0.076140391,0.0,307.09699,1.0
0.068583009,0.076564498,0.0,307.09705,1.0
0.068583009,0.076988604,0.0,307.09712,1.0
0.068583009,0.077412711,0.0,307.09718,1.0
0.069008603,0.070202898,0.0,307.09651,1.0
0.069008603,0.070627005,0.0,307.09652,1.0
0.069008603,0.071051112,0.0,307.09653,1.0
0.069008603,0.071475218,0.0,307.09654,1.0
0.069008603,0.071899325,0.0,307.09656,1.0
0.069008603,0.072323431,0.0,307.09659,1.0
0.069008603,0.072747538,0.0,307.09662,1.0
0.069008603,0.073171645,0.0,307.09666,1.0
0.069008603,0.073595751,0.0,307.0967,1.0
0.069008603,0.074019858,0.0,307.09674,1.0
0.069008603,0.074443965,0.0,307.09679,1.0
0.069008603,0.074868071,0.0,307.09684,1.0
0.069008603,0.075292178,0.0,307.0969,1.0
0.069008603,0.075716284,0.0,307.09696,1.0
